FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Monday, July 08, 2024 18:25:24 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.02
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 30387
DEA_SIDEDNESS= Both Sides
BeginData
 0.121078714254865 0.116116471867371 0.103214641659885 0.0803883266774104 0.0893203629749005 0.0922977084073972 0.0982523992723905 0.105199538614883 0.0744336358124171 0.0813807751549093 0.0793958781999115 0.0873354660199027 0.0893203629749005 0.0873354660199027 0.0803883266774104 0.0952750538398939 0.102222193182386 0.104207090137384 0.107184435569881 0.0932901568848961 0.106191987092382
 0.112146677957375 0.106191987092382 0.110161781002377 0.0962675023173928 0.0784034297224127 0.0833656721099071 0.0853505690649049 0.0744336358124171 0.0714562903799204 0.0793958781999115 0.0764185327674149 0.0893203629749005 0.075426084289916 0.0674864964699248 0.0962675023173928 0.0932901568848961 0.0863430175424038 0.110161781002377 0.0793958781999115 0.094282605362395 0.0982523992723905
 0.0913052599298983 0.0952750538398939 0.0932901568848961 0.0982523992723905 0.0883279144974016 0.0764185327674149 0.065501599514927 0.0635167025599292 0.0535922177849403 0.056569563217437 0.0674864964699248 0.0664940479924259 0.0704638419024215 0.0793958781999115 0.0714562903799204 0.0724487388574193 0.0922977084073972 0.0823732236324082 0.101229744704887 0.103214641659885 0.0863430175424038
 0.112146677957375 0.103214641659885 0.0962675023173928 0.0893203629749005 0.0784034297224127 0.0744336358124171 0.0823732236324082 0.0694713934249226 0.0575620116949359 0.0525997693074414 0.0625242540824303 0.0595469086499337 0.0734411873349182 0.056569563217437 0.0744336358124171 0.065501599514927 0.084358120587406 0.0813807751549093 0.0823732236324082 0.107184435569881 0.101229744704887
 0.0952750538398939 0.0913052599298983 0.0813807751549093 0.0793958781999115 0.065501599514927 0.0615318056049315 0.0575620116949359 0.0506148723524436 0.0486299753974458 0.0525997693074414 0.0426752845324525 0.0436677330099514 0.0426752845324525 0.0625242540824303 0.0605393571274326 0.0774109812449138 0.0674864964699248 0.0823732236324082 0.0625242540824303 0.0714562903799204 0.102222193182386
 0.0893203629749005 0.0982523992723905 0.0694713934249226 0.0575620116949359 0.0694713934249226 0.0535922177849403 0.0367205936674591 0.056569563217437 0.0496224238749447 0.0575620116949359 0.0496224238749447 0.0506148723524436 0.0506148723524436 0.0545846662624392 0.0635167025599292 0.0724487388574193 0.0545846662624392 0.075426084289916 0.0724487388574193 0.0982523992723905 0.0922977084073972
 0.084358120587406 0.0744336358124171 0.0744336358124171 0.075426084289916 0.0645091510374281 0.056569563217437 0.0486299753974458 0.0506148723524436 0.0516073208299425 0.037713042144958 0.0367205936674591 0.0516073208299425 0.0446601814874502 0.0476375269199469 0.046645078442448 0.0803883266774104 0.0595469086499337 0.0595469086499337 0.0793958781999115 0.0813807751549093 0.0952750538398939
 0.0962675023173928 0.0873354660199027 0.0635167025599292 0.0674864964699248 0.0625242540824303 0.0625242540824303 0.0367205936674591 0.0545846662624392 0.037713042144958 0.0287810058474679 0.0307659028024657 0.0287810058474679 0.0387054906224569 0.0585544601724348 0.056569563217437 0.046645078442448 0.0575620116949359 0.0635167025599292 0.0784034297224127 0.0793958781999115 0.0833656721099071
 0.094282605362395 0.0774109812449138 0.0764185327674149 0.046645078442448 0.046645078442448 0.0506148723524436 0.0396979390999558 0.0396979390999558 0.0446601814874502 0.0267961088924701 0.0138942786849845 0.0208414180274768 0.0327507997574635 0.0357281451899602 0.0496224238749447 0.0436677330099514 0.0496224238749447 0.065501599514927 0.0605393571274326 0.0724487388574193 0.0744336358124171
 0.0774109812449138 0.0903128114523994 0.0764185327674149 0.046645078442448 0.0645091510374281 0.0446601814874502 0.0396979390999558 0.0297734543249668 0.0258036604149713 0.0198489695499779 0.018856521072479 0.0208414180274768 0.027788557369969 0.0287810058474679 0.0496224238749447 0.0605393571274326 0.0506148723524436 0.065501599514927 0.0615318056049315 0.0724487388574193 0.0853505690649049
 0.0784034297224127 0.0486299753974458 0.0645091510374281 0.0664940479924259 0.0496224238749447 0.0416828360549536 0.0287810058474679 0.0317583512799646 0.0337432482349624 0.0138942786849845 0.018856521072479 0.0258036604149713 0.0287810058474679 0.0327507997574635 0.0446601814874502 0.0496224238749447 0.0664940479924259 0.0625242540824303 0.0645091510374281 0.065501599514927 0.084358120587406
 0.0823732236324082 0.0873354660199027 0.0645091510374281 0.0555771147399381 0.0555771147399381 0.0486299753974458 0.037713042144958 0.0307659028024657 0.0208414180274768 0.018856521072479 0.018856521072479 0.0178640725949801 0.0267961088924701 0.0238187634599735 0.0446601814874502 0.0456526299649491 0.0615318056049315 0.0635167025599292 0.0635167025599292 0.0853505690649049 0.0734411873349182
 0.0972599507948917 0.0595469086499337 0.0734411873349182 0.0674864964699248 0.065501599514927 0.056569563217437 0.0396979390999558 0.0337432482349624 0.0387054906224569 0.0258036604149713 0.0198489695499779 0.0218338665049757 0.0327507997574635 0.0426752845324525 0.0436677330099514 0.0545846662624392 0.0525997693074414 0.0575620116949359 0.0774109812449138 0.0674864964699248 0.0784034297224127
 0.0714562903799204 0.0684789449474237 0.075426084289916 0.0605393571274326 0.0645091510374281 0.0516073208299425 0.0585544601724348 0.0396979390999558 0.0396979390999558 0.0367205936674591 0.0248112119374724 0.0347356967124613 0.0396979390999558 0.0317583512799646 0.0486299753974458 0.0664940479924259 0.0605393571274326 0.0615318056049315 0.0724487388574193 0.0744336358124171 0.0833656721099071
 0.0694713934249226 0.0704638419024215 0.0784034297224127 0.0704638419024215 0.065501599514927 0.0635167025599292 0.0555771147399381 0.0387054906224569 0.0605393571274326 0.0426752845324525 0.0456526299649491 0.0416828360549536 0.0496224238749447 0.0496224238749447 0.0426752845324525 0.0545846662624392 0.0575620116949359 0.0555771147399381 0.0803883266774104 0.0863430175424038 0.084358120587406
 0.0714562903799204 0.0962675023173928 0.0823732236324082 0.065501599514927 0.0714562903799204 0.065501599514927 0.0575620116949359 0.056569563217437 0.0357281451899602 0.0406903875774547 0.0426752845324525 0.0347356967124613 0.0496224238749447 0.0416828360549536 0.0645091510374281 0.065501599514927 0.0605393571274326 0.0774109812449138 0.0913052599298983 0.0883279144974016 0.0803883266774104
 0.0913052599298983 0.0853505690649049 0.0714562903799204 0.0744336358124171 0.0615318056049315 0.0744336358124171 0.0595469086499337 0.0535922177849403 0.0595469086499337 0.056569563217437 0.0555771147399381 0.0516073208299425 0.0525997693074414 0.0625242540824303 0.0684789449474237 0.0714562903799204 0.0853505690649049 0.0833656721099071 0.084358120587406 0.0893203629749005 0.0903128114523994
 0.101229744704887 0.103214641659885 0.0803883266774104 0.084358120587406 0.0972599507948917 0.0605393571274326 0.0555771147399381 0.0664940479924259 0.0853505690649049 0.0525997693074414 0.0784034297224127 0.0664940479924259 0.0525997693074414 0.0724487388574193 0.094282605362395 0.0625242540824303 0.0694713934249226 0.0863430175424038 0.094282605362395 0.084358120587406 0.124056059687362
 0.0893203629749005 0.0863430175424038 0.0823732236324082 0.0833656721099071 0.0952750538398939 0.0833656721099071 0.0694713934249226 0.0704638419024215 0.0635167025599292 0.075426084289916 0.0704638419024215 0.075426084289916 0.0734411873349182 0.0982523992723905 0.0635167025599292 0.0744336358124171 0.0813807751549093 0.0972599507948917 0.0932901568848961 0.0962675023173928 0.104207090137384
 0.118101368822368 0.0952750538398939 0.0833656721099071 0.101229744704887 0.0962675023173928 0.0823732236324082 0.0684789449474237 0.0833656721099071 0.0724487388574193 0.0575620116949359 0.0813807751549093 0.0635167025599292 0.0982523992723905 0.0833656721099071 0.0793958781999115 0.0922977084073972 0.0903128114523994 0.0823732236324082 0.104207090137384 0.0972599507948917 0.084358120587406
 0.104207090137384 0.119093817299867 0.0863430175424038 0.0972599507948917 0.107184435569881 0.0873354660199027 0.094282605362395 0.0853505690649049 0.0724487388574193 0.084358120587406 0.0903128114523994 0.0883279144974016 0.0823732236324082 0.0803883266774104 0.0972599507948917 0.0952750538398939 0.0803883266774104 0.0972599507948917 0.112146677957375 0.100237296227388 0.0863430175424038

