FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, July 04, 2024 13:33:09 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.05
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.03333
A_AXIS_MAX= 0.03333
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.03333
B_AXIS_MAX= 0.03333
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 53521
DEA_SIDEDNESS= Both Sides
BeginData
 0.148867271624834 0.168716241174811 0.143905029237339 0.146882374669836 0.140927683804843 0.144897477714838 0.131003199029854 0.134972992939849 0.145889926192337 0.157799307922324 0.145889926192337 0.137950338372346 0.122071162732364 0.125048508164861 0.146882374669836 0.141920132282342 0.143905029237339 0.145889926192337 0.163753998787317 0.141920132282342 0.157799307922324
 0.156806859444825 0.163753998787317 0.163753998787317 0.148867271624834 0.147874823147335 0.12604095664236 0.123063611209863 0.140927683804843 0.127033405119858 0.133980544462351 0.121078714254865 0.118101368822368 0.138942786849845 0.131003199029854 0.140927683804843 0.152837065534829 0.152837065534829 0.150852168579832 0.157799307922324 0.148867271624834 0.158791756399823
 0.147874823147335 0.12604095664236 0.149859720102333 0.143905029237339 0.129018302074856 0.127033405119858 0.139935235327344 0.163753998787317 0.120086265777366 0.134972992939849 0.125048508164861 0.140927683804843 0.112146677957375 0.122071162732364 0.121078714254865 0.133980544462351 0.131995647507353 0.146882374669836 0.152837065534829 0.145889926192337 0.154821962489827
 0.155814410967326 0.150852168579832 0.149859720102333 0.129018302074856 0.136957889894847 0.120086265777366 0.108176884047379 0.120086265777366 0.108176884047379 0.0962675023173928 0.119093817299867 0.11710892034487 0.109169332524878 0.11710892034487 0.112146677957375 0.129018302074856 0.122071162732364 0.152837065534829 0.122071162732364 0.142912580759841 0.134972992939849
 0.135965441417348 0.12604095664236 0.15184461705733 0.139935235327344 0.125048508164861 0.141920132282342 0.101229744704887 0.102222193182386 0.0992448477498894 0.118101368822368 0.0873354660199027 0.103214641659885 0.114131574912373 0.127033405119858 0.130010750552355 0.139935235327344 0.120086265777366 0.121078714254865 0.138942786849845 0.145889926192337 0.16077665335482
 0.148867271624834 0.127033405119858 0.115124023389872 0.12604095664236 0.111154229479876 0.111154229479876 0.0803883266774104 0.112146677957375 0.0893203629749005 0.0883279144974016 0.0922977084073972 0.0982523992723905 0.100237296227388 0.114131574912373 0.0992448477498894 0.107184435569881 0.111154229479876 0.115124023389872 0.141920132282342 0.136957889894847 0.157799307922324
 0.134972992939849 0.150852168579832 0.141920132282342 0.0962675023173928 0.144897477714838 0.111154229479876 0.0903128114523994 0.103214641659885 0.0823732236324082 0.0853505690649049 0.0982523992723905 0.101229744704887 0.0853505690649049 0.110161781002377 0.124056059687362 0.121078714254865 0.124056059687362 0.123063611209863 0.116116471867371 0.104207090137384 0.131003199029854
 0.16077665335482 0.139935235327344 0.125048508164861 0.118101368822368 0.112146677957375 0.0922977084073972 0.0972599507948917 0.0883279144974016 0.0813807751549093 0.0774109812449138 0.0823732236324082 0.0704638419024215 0.0784034297224127 0.0744336358124171 0.116116471867371 0.0903128114523994 0.111154229479876 0.129018302074856 0.134972992939849 0.132988095984852 0.143905029237339
 0.159784204877322 0.115124023389872 0.135965441417348 0.122071162732364 0.118101368822368 0.112146677957375 0.0962675023173928 0.0734411873349182 0.0724487388574193 0.0803883266774104 0.0645091510374281 0.0674864964699248 0.0853505690649049 0.075426084289916 0.0873354660199027 0.0913052599298983 0.0863430175424038 0.111154229479876 0.145889926192337 0.119093817299867 0.159784204877322
 0.147874823147335 0.133980544462351 0.129018302074856 0.0922977084073972 0.104207090137384 0.100237296227388 0.0883279144974016 0.0714562903799204 0.0833656721099071 0.0575620116949359 0.0873354660199027 0.0744336358124171 0.0724487388574193 0.0764185327674149 0.0764185327674149 0.084358120587406 0.0982523992723905 0.129018302074856 0.114131574912373 0.130010750552355 0.132988095984852
 0.130010750552355 0.112146677957375 0.144897477714838 0.133980544462351 0.0913052599298983 0.105199538614883 0.075426084289916 0.0813807751549093 0.0823732236324082 0.0774109812449138 0.0645091510374281 0.0714562903799204 0.0635167025599292 0.0793958781999115 0.075426084289916 0.0893203629749005 0.0982523992723905 0.123063611209863 0.129018302074856 0.129018302074856 0.131995647507353
 0.132988095984852 0.129018302074856 0.122071162732364 0.12604095664236 0.0992448477498894 0.0774109812449138 0.0664940479924259 0.0853505690649049 0.0803883266774104 0.0853505690649049 0.0823732236324082 0.0764185327674149 0.0793958781999115 0.0684789449474237 0.0913052599298983 0.094282605362395 0.0972599507948917 0.107184435569881 0.128025853597357 0.124056059687362 0.156806859444825
 0.139935235327344 0.161769101832319 0.131003199029854 0.109169332524878 0.114131574912373 0.0803883266774104 0.0893203629749005 0.0744336358124171 0.0774109812449138 0.0764185327674149 0.0833656721099071 0.084358120587406 0.0635167025599292 0.0903128114523994 0.0863430175424038 0.108176884047379 0.0972599507948917 0.0972599507948917 0.135965441417348 0.119093817299867 0.139935235327344
 0.172686035084807 0.111154229479876 0.132988095984852 0.121078714254865 0.121078714254865 0.0962675023173928 0.0823732236324082 0.0863430175424038 0.0674864964699248 0.0883279144974016 0.0645091510374281 0.0684789449474237 0.0764185327674149 0.0962675023173928 0.0982523992723905 0.105199538614883 0.107184435569881 0.115124023389872 0.135965441417348 0.108176884047379 0.144897477714838
 0.16970868965231 0.154821962489827 0.129018302074856 0.121078714254865 0.104207090137384 0.111154229479876 0.0922977084073972 0.100237296227388 0.0952750538398939 0.0704638419024215 0.0873354660199027 0.0784034297224127 0.0803883266774104 0.102222193182386 0.0962675023173928 0.0992448477498894 0.11710892034487 0.135965441417348 0.12604095664236 0.121078714254865 0.120086265777366
 0.141920132282342 0.155814410967326 0.130010750552355 0.124056059687362 0.138942786849845 0.116116471867371 0.113139126434874 0.101229744704887 0.105199538614883 0.0913052599298983 0.0952750538398939 0.084358120587406 0.102222193182386 0.0913052599298983 0.0992448477498894 0.111154229479876 0.133980544462351 0.135965441417348 0.139935235327344 0.147874823147335 0.138942786849845
 0.155814410967326 0.134972992939849 0.121078714254865 0.129018302074856 0.115124023389872 0.134972992939849 0.111154229479876 0.135965441417348 0.0962675023173928 0.112146677957375 0.0962675023173928 0.106191987092382 0.105199538614883 0.112146677957375 0.108176884047379 0.120086265777366 0.138942786849845 0.130010750552355 0.132988095984852 0.148867271624834 0.112146677957375
 0.177648277472301 0.156806859444825 0.146882374669836 0.156806859444825 0.131003199029854 0.131995647507353 0.100237296227388 0.135965441417348 0.114131574912373 0.129018302074856 0.109169332524878 0.101229744704887 0.116116471867371 0.101229744704887 0.129018302074856 0.129018302074856 0.139935235327344 0.144897477714838 0.143905029237339 0.136957889894847 0.153829514012328
 0.145889926192337 0.161769101832319 0.147874823147335 0.138942786849845 0.154821962489827 0.11710892034487 0.128025853597357 0.136957889894847 0.116116471867371 0.113139126434874 0.106191987092382 0.114131574912373 0.106191987092382 0.146882374669836 0.125048508164861 0.122071162732364 0.15184461705733 0.155814410967326 0.122071162732364 0.156806859444825 0.165738895742315
 0.170701138129809 0.163753998787317 0.147874823147335 0.135965441417348 0.137950338372346 0.12604095664236 0.128025853597357 0.132988095984852 0.115124023389872 0.107184435569881 0.133980544462351 0.130010750552355 0.150852168579832 0.133980544462351 0.148867271624834 0.15184461705733 0.156806859444825 0.131995647507353 0.165738895742315 0.173678483562306 0.132988095984852
 0.165738895742315 0.149859720102333 0.153829514012328 0.149859720102333 0.153829514012328 0.140927683804843 0.116116471867371 0.167723792697313 0.147874823147335 0.1786407259498 0.158791756399823 0.124056059687362 0.150852168579832 0.116116471867371 0.132988095984852 0.16077665335482 0.148867271624834 0.141920132282342 0.162761550309818 0.136957889894847 0.156806859444825

