FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 08:35:21 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.08
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 104915
DEA_SIDEDNESS= Both Sides
BeginData
 0.0848925000623774 0.0901293750662253 0.0898537500660227 0.0884756250650101 0.0840656250617698 0.0857193750629849 0.0851681250625799 0.0722137500530615 0.0824118750605547 0.0788287500579219 0.0760725000558967 0.0771750000567068 0.0788287500579219 0.0926100000680479 0.0757968750556942 0.0807581250593396 0.0763481250560993 0.0804825000591371 0.0882000000648076 0.0920587500676429 0.0884756250650101
 0.0959175000704782 0.08627062506339 0.0859950000631875 0.0782775000575169 0.0810337500595421 0.0824118750605547 0.0735918750540741 0.0777262500571119 0.0697331250512388 0.0771750000567068 0.0711112500522514 0.0788287500579219 0.0686306250504287 0.0733162500538715 0.0760725000558967 0.0821362500603522 0.0826875000607572 0.0832387500611623 0.0870975000639975 0.0821362500603522 0.079931250058732
 0.0893025000656177 0.0884756250650101 0.0804825000591371 0.0785531250577194 0.0757968750556942 0.0700087500514413 0.0694575000510363 0.0683550000502262 0.0691818750508337 0.0606375000445556 0.0628425000461758 0.0628425000461758 0.0647718750475934 0.0774506250569093 0.0780018750573144 0.0708356250520489 0.0757968750556942 0.0782775000575169 0.0766237500563018 0.079380000058327 0.0879243750646051
 0.0873731250642001 0.0865462500635925 0.0818606250601497 0.0791043750581245 0.0763481250560993 0.0705600000518463 0.0614643750451631 0.0636693750467833 0.0716625000526564 0.0614643750451631 0.065598750048201 0.0587081250431379 0.0672525000494161 0.0639450000469858 0.0763481250560993 0.0741431250544791 0.0722137500530615 0.0757968750556942 0.0752456250552892 0.0876487500644026 0.0810337500595421
 0.0782775000575169 0.0782775000575169 0.0859950000631875 0.0746943750548841 0.0700087500514413 0.0633937500465808 0.0644962500473909 0.0589837500433404 0.0589837500433404 0.0496125000364545 0.0482343750354418 0.0548493750403025 0.0529200000388848 0.060361875044353 0.0600862500441505 0.0620156250455682 0.0744187500546816 0.0746943750548841 0.0774506250569093 0.0774506250569093 0.0832387500611623
 0.0851681250625799 0.0771750000567068 0.0757968750556942 0.0589837500433404 0.0738675000542766 0.0647718750475934 0.0609131250447581 0.0482343750354418 0.0463050000340242 0.049336875036252 0.0421706250309863 0.0485100000356444 0.0449268750330115 0.0509906250374671 0.0573300000421252 0.065598750048201 0.0647718750475934 0.0785531250577194 0.0719381250528589 0.0843412500619723 0.0785531250577194
 0.0782775000575169 0.0763481250560993 0.0702843750516438 0.0675281250496186 0.073040625053669 0.0531956250390873 0.0520931250382772 0.0504393750370621 0.0471318750346317 0.0358312500263281 0.0410681250301761 0.0388631250285559 0.0407925000299736 0.0485100000356444 0.0565031250415177 0.0589837500433404 0.0573300000421252 0.0716625000526564 0.0697331250512388 0.0757968750556942 0.0768993750565043
 0.0815850000599471 0.0796556250585295 0.0713868750524539 0.0578812500425303 0.055125000040505 0.0515418750378722 0.0441000000324039 0.0432731250317964 0.0407925000299736 0.0369337500271382 0.0316968750232902 0.0327993750241003 0.0407925000299736 0.0410681250301761 0.0479587500352393 0.0542981250398974 0.0611887500449606 0.0567787500417202 0.0705600000518463 0.0678037500498211 0.0857193750629849
 0.0768993750565043 0.0851681250625799 0.0636693750467833 0.0675281250496186 0.0567787500417202 0.0526443750386823 0.0443756250326065 0.0405168750297711 0.034177500025113 0.0270112500198473 0.0311456250228852 0.0267356250196448 0.0358312500263281 0.0410681250301761 0.044651250032809 0.0504393750370621 0.0523687500384798 0.0647718750475934 0.0713868750524539 0.0768993750565043 0.0746943750548841
 0.0824118750605547 0.0702843750516438 0.0760725000558967 0.0606375000445556 0.0565031250415177 0.0526443750386823 0.0507150000372646 0.0405168750297711 0.0311456250228852 0.0300431250220751 0.0261843750192397 0.0272868750200498 0.02949187502167 0.0380362500279483 0.0432731250317964 0.0476831250350368 0.0520931250382772 0.0576056250423278 0.0766237500563018 0.0664256250488085 0.0804825000591371
