FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Tuesday, June 25, 2024 15:57:13 (Central Daylight Time)"
ORIGIN_POSITION= -0.05 0 0
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 40300
DEA_SIDEDNESS= Both Sides
BeginData
 0.149940000037459 0.174195000043519 0.158760000039663 0.151042500037735 0.162067500040489 0.123480000030849 0.124582500031125 0.135607500033879 0.130095000032502 0.103635000025891 0.136710000034154 0.110250000027544 0.133402500033328 0.123480000030849 0.112455000028095 0.134505000033603 0.123480000030849 0.104737500026167 0.122377500030574 0.121275000030298 0.130095000032502
 0.158760000039663 0.163170000040764 0.142222500035531 0.121275000030298 0.148837500037184 0.165375000041315 0.127890000031951 0.119070000029747 0.119070000029747 0.100327500025065 0.110250000027544 0.102532500025616 0.0882000000220351 0.114660000028646 0.103635000025891 0.127890000031951 0.116865000029196 0.112455000028095 0.103635000025891 0.100327500025065 0.132300000033053
 0.157657500039387 0.158760000039663 0.115762500028921 0.156555000039112 0.149940000037459 0.122377500030574 0.147735000036908 0.116865000029196 0.115762500028921 0.121275000030298 0.104737500026167 0.117967500029472 0.100327500025065 0.123480000030849 0.0870975000217596 0.0959175000239631 0.0970200000242386 0.117967500029472 0.106942500026718 0.0893025000223105 0.111352500027819
 0.135607500033879 0.112455000028095 0.138915000034705 0.131197500032777 0.122377500030574 0.136710000034154 0.1256850000314 0.116865000029196 0.106942500026718 0.098122500024514 0.105840000026442 0.0926100000231368 0.098122500024514 0.0826875000206579 0.0837900000209333 0.0882000000220351 0.0893025000223105 0.0970200000242386 0.0738675000184544 0.105840000026442 0.10143000002534
 0.145530000036358 0.127890000031951 0.132300000033053 0.123480000030849 0.121275000030298 0.126787500031675 0.104737500026167 0.0992250000247895 0.0915075000228614 0.0926100000231368 0.0959175000239631 0.119070000029747 0.0826875000206579 0.0672525000168017 0.0683550000170772 0.0672525000168017 0.0882000000220351 0.0915075000228614 0.0793800000198316 0.0915075000228614 0.120172500030023
 0.154350000038561 0.121275000030298 0.122377500030574 0.127890000031951 0.131197500032777 0.120172500030023 0.110250000027544 0.105840000026442 0.0771750000192807 0.0793800000198316 0.0992250000247895 0.0859950000214842 0.0650475000162509 0.0760725000190052 0.080482500020107 0.080482500020107 0.0683550000170772 0.0727650000181789 0.0815850000203824 0.0826875000206579 0.109147500027268
 0.13781250003443 0.11355750002837 0.126787500031675 0.1256850000314 0.124582500031125 0.0970200000242386 0.111352500027819 0.0926100000231368 0.0904050000225859 0.100327500025065 0.0771750000192807 0.0815850000203824 0.0694575000173526 0.0793800000198316 0.0672525000168017 0.070560000017628 0.0551250000137719 0.080482500020107 0.0749700000187298 0.0937125000234123 0.0893025000223105
 0.123480000030849 0.15214500003801 0.147735000036908 0.112455000028095 0.119070000029747 0.10143000002534 0.0882000000220351 0.114660000028646 0.102532500025616 0.0893025000223105 0.0904050000225859 0.0683550000170772 0.0617400000154245 0.0573300000143228 0.045202500011293 0.045202500011293 0.045202500011293 0.0518175000129456 0.0518175000129456 0.0893025000223105 0.0959175000239631
 0.141120000035256 0.119070000029747 0.112455000028095 0.117967500029472 0.115762500028921 0.0970200000242386 0.121275000030298 0.0904050000225859 0.0639450000159754 0.0771750000192807 0.0948150000236877 0.0904050000225859 0.0727650000181789 0.0573300000143228 0.0551250000137719 0.0319725000079877 0.0551250000137719 0.0441000000110175 0.0496125000123947 0.0727650000181789 0.0716625000179035
 0.147735000036908 0.117967500029472 0.13781250003443 0.11355750002837 0.0904050000225859 0.098122500024514 0.103635000025891 0.100327500025065 0.0771750000192807 0.0716625000179035 0.0749700000187298 0.0573300000143228 0.0606375000151491 0.0474075000118438 0.0297675000074368 0.0264600000066105 0.0363825000090894 0.0463050000115684 0.0573300000143228 0.0760725000190052 0.0760725000190052
 0.149940000037459 0.121275000030298 0.115762500028921 0.0948150000236877 0.110250000027544 0.124582500031125 0.0893025000223105 0.103635000025891 0.0837900000209333 0.0661500000165263 0.0793800000198316 0.0639450000159754 0.0639450000159754 0.0441000000110175 0.035280000008814 0.0220500000055087 0.0396900000099158 0.0518175000129456 0.0463050000115684 0.0617400000154245 0.070560000017628
 0.124582500031125 0.138915000034705 0.131197500032777 0.11355750002837 0.106942500026718 0.105840000026442 0.0904050000225859 0.070560000017628 0.0749700000187298 0.0694575000173526 0.0859950000214842 0.0573300000143228 0.0496125000123947 0.0485100000121193 0.0595350000148737 0.0496125000123947 0.0264600000066105 0.035280000008814 0.0551250000137719 0.0507150000126702 0.080482500020107
 0.1256850000314 0.135607500033879 0.112455000028095 0.11355750002837 0.131197500032777 0.0937125000234123 0.100327500025065 0.0948150000236877 0.0959175000239631 0.080482500020107 0.0771750000192807 0.0694575000173526 0.0628425000157 0.0418950000104666 0.0441000000110175 0.0363825000090894 0.0363825000090894 0.0606375000151491 0.0628425000157 0.0661500000165263 0.0893025000223105
 0.136710000034154 0.128992500032226 0.124582500031125 0.120172500030023 0.120172500030023 0.111352500027819 0.115762500028921 0.104737500026167 0.0815850000203824 0.070560000017628 0.080482500020107 0.0694575000173526 0.0661500000165263 0.0716625000179035 0.0617400000154245 0.0518175000129456 0.0661500000165263 0.0429975000107421 0.0639450000159754 0.0771750000192807 0.0882000000220351
 0.159862500039938 0.140017500034981 0.148837500037184 0.132300000033053 0.1256850000314 0.126787500031675 0.0915075000228614 0.109147500027268 0.098122500024514 0.0992250000247895 0.103635000025891 0.0882000000220351 0.0694575000173526 0.0727650000181789 0.0606375000151491 0.0617400000154245 0.0595350000148737 0.0749700000187298 0.0848925000212088 0.0551250000137719 0.0937125000234123
 0.128992500032226 0.131197500032777 0.126787500031675 0.117967500029472 0.11355750002837 0.111352500027819 0.10143000002534 0.117967500029472 0.105840000026442 0.100327500025065 0.0859950000214842 0.0793800000198316 0.0771750000192807 0.0716625000179035 0.0727650000181789 0.0848925000212088 0.0694575000173526 0.0683550000170772 0.098122500024514 0.0760725000190052 0.111352500027819
 0.145530000036358 0.159862500039938 0.134505000033603 0.141120000035256 0.111352500027819 0.110250000027544 0.0904050000225859 0.109147500027268 0.0926100000231368 0.112455000028095 0.0859950000214842 0.0893025000223105 0.0948150000236877 0.0771750000192807 0.0826875000206579 0.0749700000187298 0.0926100000231368 0.0672525000168017 0.070560000017628 0.0926100000231368 0.11355750002837
 0.128992500032226 0.149940000037459 0.131197500032777 0.119070000029747 0.120172500030023 0.111352500027819 0.130095000032502 0.132300000033053 0.0959175000239631 0.0848925000212088 0.104737500026167 0.103635000025891 0.0959175000239631 0.0904050000225859 0.111352500027819 0.0948150000236877 0.0826875000206579 0.0859950000214842 0.106942500026718 0.11355750002837 0.11355750002837
 0.142222500035531 0.136710000034154 0.141120000035256 0.135607500033879 0.135607500033879 0.127890000031951 0.145530000036358 0.119070000029747 0.100327500025065 0.110250000027544 0.117967500029472 0.103635000025891 0.0815850000203824 0.116865000029196 0.0937125000234123 0.0948150000236877 0.080482500020107 0.098122500024514 0.110250000027544 0.109147500027268 0.127890000031951
 0.135607500033879 0.145530000036358 0.127890000031951 0.148837500037184 0.134505000033603 0.119070000029747 0.111352500027819 0.128992500032226 0.115762500028921 0.132300000033053 0.0992250000247895 0.0926100000231368 0.102532500025616 0.0937125000234123 0.098122500024514 0.106942500026718 0.110250000027544 0.0937125000234123 0.112455000028095 0.0959175000239631 0.119070000029747
 0.127890000031951 0.133402500033328 0.134505000033603 0.147735000036908 0.121275000030298 0.126787500031675 0.142222500035531 0.158760000039663 0.130095000032502 0.145530000036358 0.119070000029747 0.104737500026167 0.098122500024514 0.130095000032502 0.119070000029747 0.116865000029196 0.119070000029747 0.105840000026442 0.119070000029747 0.132300000033053 0.130095000032502

