FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Thursday, June 27, 2024 19:02:19 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 6.9388939039072e-18
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.05
A_AXIS_MAX= 0.05
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.05
B_AXIS_MAX= 0.05
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 30729
DEA_SIDEDNESS= Both Sides
BeginData
 0.19183499996796 0.233729999960963 0.238139999960226 0.20506499996575 0.19183499996796 0.224909999962436 0.200654999966487 0.194039999967592 0.220499999963172 0.156554999973852 0.209474999965014 0.174194999970906 0.216089999963909 0.222704999962804 0.227114999962068 0.20506499996575 0.229319999961699 0.209474999965014 0.231524999961331 0.233729999960963 0.143324999976062
 0.211679999964646 0.218294999963541 0.238139999960226 0.211679999964646 0.174194999970906 0.187424999968697 0.198449999966855 0.169784999971643 0.171989999971274 0.165374999972379 0.154349999974221 0.185219999969065 0.196244999967223 0.167579999972011 0.174194999970906 0.165374999972379 0.185219999969065 0.187424999968697 0.24254999995949 0.227114999962068 0.229319999961699
 0.253574999957648 0.220499999963172 0.17860499997017 0.207269999965382 0.171989999971274 0.17860499997017 0.189629999968328 0.158759999973484 0.176399999970538 0.165374999972379 0.143324999976062 0.169784999971643 0.167579999972011 0.156554999973852 0.185219999969065 0.176399999970538 0.220499999963172 0.167579999972011 0.145529999975694 0.231524999961331 0.202859999966119
 0.163169999972748 0.222704999962804 0.183014999969433 0.17860499997017 0.213884999964277 0.158759999973484 0.183014999969433 0.160964999973116 0.147734999975326 0.143324999976062 0.156554999973852 0.147734999975326 0.163169999972748 0.147734999975326 0.156554999973852 0.19183499996796 0.138914999976799 0.198449999966855 0.216089999963909 0.240344999959858 0.218294999963541
 0.209474999965014 0.20506499996575 0.156554999973852 0.196244999967223 0.174194999970906 0.171989999971274 0.156554999973852 0.136709999977167 0.187424999968697 0.103634999982691 0.101429999983059 0.0992249999834276 0.130094999978272 0.143324999976062 0.143324999976062 0.158759999973484 0.14111999997643 0.198449999966855 0.17860499997017 0.213884999964277 0.209474999965014
 0.211679999964646 0.194039999967592 0.160964999973116 0.130094999978272 0.163169999972748 0.136709999977167 0.121274999979745 0.103634999982691 0.123479999979377 0.101429999983059 0.116864999980481 0.101429999983059 0.125684999979008 0.123479999979377 0.132299999977903 0.132299999977903 0.165374999972379 0.180809999969801 0.213884999964277 0.187424999968697 0.202859999966119
 0.196244999967223 0.158759999973484 0.187424999968697 0.149939999974957 0.145529999975694 0.136709999977167 0.0904049999849007 0.103634999982691 0.0970199999837959 0.103634999982691 0.0705599999882152 0.0793799999867421 0.0970199999837959 0.125684999979008 0.103634999982691 0.130094999978272 0.156554999973852 0.154349999974221 0.149939999974957 0.222704999962804 0.209474999965014
 0.19183499996796 0.147734999975326 0.138914999976799 0.169784999971643 0.136709999977167 0.130094999978272 0.0793799999867421 0.0970199999837959 0.0705599999882152 0.0749699999874786 0.0683549999885835 0.0837899999860055 0.0771749999871103 0.125684999979008 0.0815849999863738 0.101429999983059 0.112454999981218 0.147734999975326 0.180809999969801 0.211679999964646 0.198449999966855
 0.20506499996575 0.165374999972379 0.143324999976062 0.123479999979377 0.154349999974221 0.105839999982323 0.11465999998085 0.0771749999871103 0.0551249999907931 0.0573299999904248 0.039689999993371 0.0661499999889517 0.0485099999918979 0.0705599999882152 0.0749699999874786 0.0992249999834276 0.163169999972748 0.116864999980481 0.174194999970906 0.163169999972748 0.202859999966119
 0.163169999972748 0.174194999970906 0.125684999979008 0.143324999976062 0.123479999979377 0.088199999985269 0.088199999985269 0.0661499999889517 0.0529199999911614 0.0595349999900565 0.0529199999911614 0.0463049999922662 0.0485099999918979 0.06394499998932 0.110249999981586 0.116864999980481 0.12788999997864 0.134504999977535 0.158759999973484 0.180809999969801 0.183014999969433
