FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Wednesday, June 26, 2024 15:13:38 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.07
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 27926
DEA_SIDEDNESS= Both Sides
BeginData
 0.0882000000220351 0.0815850000203824 0.0882000000220351 0.0915075000228614 0.0970200000242386 0.0926100000231368 0.0617400000154245 0.070560000017628 0.0859950000214842 0.104737500026167 0.0760725000190052 0.080482500020107 0.0782775000195561 0.0815850000203824 0.0771750000192807 0.0848925000212088 0.0837900000209333 0.0937125000234123 0.100327500025065 0.104737500026167 0.0959175000239631
 0.0893025000223105 0.11355750002837 0.0716625000179035 0.104737500026167 0.080482500020107 0.0893025000223105 0.0749700000187298 0.0606375000151491 0.0738675000184544 0.070560000017628 0.0760725000190052 0.0650475000162509 0.0848925000212088 0.0771750000192807 0.0782775000195561 0.0716625000179035 0.104737500026167 0.0837900000209333 0.104737500026167 0.0893025000223105 0.0793800000198316
 0.0859950000214842 0.098122500024514 0.0661500000165263 0.0882000000220351 0.0639450000159754 0.0937125000234123 0.0617400000154245 0.0749700000187298 0.0749700000187298 0.0683550000170772 0.0661500000165263 0.0859950000214842 0.0573300000143228 0.0694575000173526 0.0793800000198316 0.0639450000159754 0.0694575000173526 0.098122500024514 0.0882000000220351 0.0904050000225859 0.0738675000184544
 0.0848925000212088 0.080482500020107 0.0793800000198316 0.0749700000187298 0.0661500000165263 0.0749700000187298 0.0573300000143228 0.0683550000170772 0.0683550000170772 0.0672525000168017 0.0760725000190052 0.0639450000159754 0.0672525000168017 0.0727650000181789 0.0716625000179035 0.0859950000214842 0.070560000017628 0.0738675000184544 0.0782775000195561 0.0815850000203824 0.0870975000217596
 0.0683550000170772 0.0926100000231368 0.0815850000203824 0.0859950000214842 0.0793800000198316 0.0507150000126702 0.0727650000181789 0.052920000013221 0.0540225000134965 0.0650475000162509 0.0474075000118438 0.0562275000140473 0.0672525000168017 0.0672525000168017 0.0661500000165263 0.0716625000179035 0.070560000017628 0.0661500000165263 0.0727650000181789 0.0672525000168017 0.0992250000247895
 0.0904050000225859 0.0882000000220351 0.0793800000198316 0.0793800000198316 0.0760725000190052 0.0793800000198316 0.0463050000115684 0.0562275000140473 0.0584325000145982 0.0573300000143228 0.0540225000134965 0.0485100000121193 0.0573300000143228 0.0429975000107421 0.0650475000162509 0.0694575000173526 0.0738675000184544 0.0859950000214842 0.0782775000195561 0.0694575000173526 0.070560000017628
 0.0848925000212088 0.0926100000231368 0.0915075000228614 0.0727650000181789 0.0584325000145982 0.0694575000173526 0.0606375000151491 0.0562275000140473 0.0507150000126702 0.0474075000118438 0.0562275000140473 0.0330750000082631 0.052920000013221 0.0474075000118438 0.0595350000148737 0.0760725000190052 0.0639450000159754 0.0848925000212088 0.0815850000203824 0.0837900000209333 0.0793800000198316
 0.0738675000184544 0.0782775000195561 0.0650475000162509 0.0617400000154245 0.070560000017628 0.0496125000123947 0.0429975000107421 0.0507150000126702 0.0551250000137719 0.0418950000104666 0.0363825000090894 0.0441000000110175 0.0385875000096403 0.0429975000107421 0.0606375000151491 0.052920000013221 0.0639450000159754 0.0617400000154245 0.0584325000145982 0.080482500020107 0.0793800000198316
 0.100327500025065 0.0771750000192807 0.0694575000173526 0.0661500000165263 0.0793800000198316 0.0485100000121193 0.0496125000123947 0.0463050000115684 0.0341775000085386 0.0297675000074368 0.0341775000085386 0.0308700000077123 0.0330750000082631 0.052920000013221 0.0650475000162509 0.0496125000123947 0.0749700000187298 0.0540225000134965 0.0595350000148737 0.0937125000234123 0.0826875000206579
 0.0782775000195561 0.0694575000173526 0.0815850000203824 0.0639450000159754 0.0639450000159754 0.0617400000154245 0.045202500011293 0.0363825000090894 0.0374850000093649 0.0286650000071614 0.0308700000077123 0.0286650000071614 0.0396900000099158 0.0374850000093649 0.052920000013221 0.0518175000129456 0.0749700000187298 0.0859950000214842 0.0716625000179035 0.070560000017628 0.0793800000198316
 0.0904050000225859 0.0848925000212088 0.0694575000173526 0.0463050000115684 0.0573300000143228 0.0595350000148737 0.045202500011293 0.0441000000110175 0.0418950000104666 0.0253575000063351 0.0275625000068859 0.0341775000085386 0.0242550000060596 0.0330750000082631 0.0429975000107421 0.0540225000134965 0.0518175000129456 0.0562275000140473 0.0771750000192807 0.0628425000157 0.098122500024514
 0.0870975000217596 0.0793800000198316 0.0970200000242386 0.0694575000173526 0.0815850000203824 0.0683550000170772 0.045202500011293 0.0330750000082631 0.035280000008814 0.0253575000063351 0.0385875000096403 0.0418950000104666 0.0385875000096403 0.045202500011293 0.0275625000068859 0.052920000013221 0.0540225000134965 0.0540225000134965 0.0793800000198316 0.0915075000228614 0.0815850000203824
 0.0793800000198316 0.0815850000203824 0.0815850000203824 0.0441000000110175 0.070560000017628 0.0639450000159754 0.0341775000085386 0.0551250000137719 0.0363825000090894 0.0319725000079877 0.0330750000082631 0.0264600000066105 0.0297675000074368 0.0396900000099158 0.0463050000115684 0.0584325000145982 0.0551250000137719 0.0738675000184544 0.0639450000159754 0.0837900000209333 0.0959175000239631
 0.0815850000203824 0.0926100000231368 0.0672525000168017 0.0617400000154245 0.0595350000148737 0.0573300000143228 0.0639450000159754 0.0617400000154245 0.0330750000082631 0.0374850000093649 0.0463050000115684 0.0319725000079877 0.0429975000107421 0.0429975000107421 0.045202500011293 0.0650475000162509 0.0650475000162509 0.0639450000159754 0.0738675000184544 0.0595350000148737 0.0826875000206579
 0.0870975000217596 0.0749700000187298 0.0837900000209333 0.080482500020107 0.0639450000159754 0.0738675000184544 0.0639450000159754 0.0540225000134965 0.0562275000140473 0.0385875000096403 0.0429975000107421 0.0429975000107421 0.0639450000159754 0.0628425000157 0.0694575000173526 0.0507150000126702 0.0716625000179035 0.0848925000212088 0.0683550000170772 0.0859950000214842 0.0915075000228614
 0.0882000000220351 0.0793800000198316 0.0882000000220351 0.0628425000157 0.0771750000192807 0.0694575000173526 0.0639450000159754 0.052920000013221 0.0562275000140473 0.0485100000121193 0.0628425000157 0.0562275000140473 0.0485100000121193 0.0485100000121193 0.0551250000137719 0.0760725000190052 0.0904050000225859 0.0716625000179035 0.0882000000220351 0.100327500025065 0.10143000002534
 0.0992250000247895 0.0749700000187298 0.0904050000225859 0.0727650000181789 0.0694575000173526 0.0672525000168017 0.0595350000148737 0.0650475000162509 0.0573300000143228 0.0650475000162509 0.0716625000179035 0.0518175000129456 0.0562275000140473 0.0595350000148737 0.0639450000159754 0.0848925000212088 0.0760725000190052 0.0882000000220351 0.0782775000195561 0.0661500000165263 0.0859950000214842
 0.100327500025065 0.0948150000236877 0.102532500025616 0.0882000000220351 0.0606375000151491 0.0793800000198316 0.0848925000212088 0.0573300000143228 0.0540225000134965 0.0683550000170772 0.0639450000159754 0.0716625000179035 0.0661500000165263 0.0738675000184544 0.0639450000159754 0.0672525000168017 0.0870975000217596 0.0771750000192807 0.098122500024514 0.10143000002534 0.080482500020107
 0.116865000029196 0.0859950000214842 0.080482500020107 0.0893025000223105 0.0760725000190052 0.0815850000203824 0.0782775000195561 0.0694575000173526 0.0760725000190052 0.0694575000173526 0.0540225000134965 0.0870975000217596 0.0782775000195561 0.0837900000209333 0.0848925000212088 0.0793800000198316 0.070560000017628 0.0738675000184544 0.0683550000170772 0.098122500024514 0.103635000025891
 0.0904050000225859 0.0661500000165263 0.0848925000212088 0.0749700000187298 0.0893025000223105 0.0815850000203824 0.0859950000214842 0.0848925000212088 0.0650475000162509 0.0837900000209333 0.0727650000181789 0.0793800000198316 0.0793800000198316 0.0926100000231368 0.0782775000195561 0.0760725000190052 0.0771750000192807 0.0793800000198316 0.0948150000236877 0.0970200000242386 0.0959175000239631
 0.080482500020107 0.104737500026167 0.10143000002534 0.0826875000206579 0.0882000000220351 0.103635000025891 0.103635000025891 0.0826875000206579 0.0959175000239631 0.0815850000203824 0.0848925000212088 0.0870975000217596 0.0893025000223105 0.0749700000187298 0.080482500020107 0.0882000000220351 0.0959175000239631 0.0826875000206579 0.10143000002534 0.0793800000198316 0.0948150000236877

