FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Wednesday, June 26, 2024 14:29:46 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 -0.01
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.1
A_AXIS_MAX= 0.1
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.1
B_AXIS_MAX= 0.1
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 41140
DEA_SIDEDNESS= Both Sides
BeginData
 0.136710000034154 0.149940000037459 0.110250000027544 0.127890000031951 0.138915000034705 0.134505000033603 0.105840000026442 0.11355750002837 0.102532500025616 0.1256850000314 0.119070000029747 0.105840000026442 0.134505000033603 0.104737500026167 0.133402500033328 0.122377500030574 0.145530000036358 0.143325000035807 0.132300000033053 0.169785000042417 0.156555000039112
 0.138915000034705 0.130095000032502 0.131197500032777 0.134505000033603 0.127890000031951 0.123480000030849 0.132300000033053 0.105840000026442 0.110250000027544 0.102532500025616 0.0948150000236877 0.108045000026993 0.104737500026167 0.110250000027544 0.123480000030849 0.11355750002837 0.119070000029747 0.114660000028646 0.122377500030574 0.134505000033603 0.159862500039938
 0.158760000039663 0.13781250003443 0.141120000035256 0.135607500033879 0.132300000033053 0.105840000026442 0.0926100000231368 0.100327500025065 0.0959175000239631 0.0970200000242386 0.105840000026442 0.102532500025616 0.0948150000236877 0.1256850000314 0.117967500029472 0.100327500025065 0.115762500028921 0.126787500031675 0.144427500036082 0.160965000040214 0.141120000035256
 0.15214500003801 0.124582500031125 0.135607500033879 0.119070000029747 0.0915075000228614 0.111352500027819 0.0948150000236877 0.109147500027268 0.124582500031125 0.0893025000223105 0.0937125000234123 0.0915075000228614 0.10143000002534 0.109147500027268 0.110250000027544 0.112455000028095 0.110250000027544 0.130095000032502 0.13781250003443 0.136710000034154 0.145530000036358
 0.111352500027819 0.121275000030298 0.108045000026993 0.136710000034154 0.112455000028095 0.0992250000247895 0.0970200000242386 0.106942500026718 0.0837900000209333 0.0904050000225859 0.0859950000214842 0.0915075000228614 0.100327500025065 0.0882000000220351 0.110250000027544 0.100327500025065 0.123480000030849 0.124582500031125 0.116865000029196 0.134505000033603 0.123480000030849
 0.121275000030298 0.126787500031675 0.126787500031675 0.0948150000236877 0.116865000029196 0.100327500025065 0.10143000002534 0.0904050000225859 0.0859950000214842 0.0859950000214842 0.070560000017628 0.080482500020107 0.0782775000195561 0.0948150000236877 0.0893025000223105 0.0970200000242386 0.115762500028921 0.110250000027544 0.119070000029747 0.141120000035256 0.110250000027544
 0.120172500030023 0.124582500031125 0.106942500026718 0.110250000027544 0.0870975000217596 0.0970200000242386 0.0948150000236877 0.080482500020107 0.0738675000184544 0.0782775000195561 0.0727650000181789 0.0727650000181789 0.0595350000148737 0.0848925000212088 0.0749700000187298 0.0926100000231368 0.126787500031675 0.108045000026993 0.102532500025616 0.140017500034981 0.109147500027268
 0.120172500030023 0.102532500025616 0.103635000025891 0.0837900000209333 0.0937125000234123 0.0848925000212088 0.0727650000181789 0.0716625000179035 0.0650475000162509 0.0661500000165263 0.0727650000181789 0.0650475000162509 0.0606375000151491 0.070560000017628 0.0716625000179035 0.0793800000198316 0.0904050000225859 0.102532500025616 0.109147500027268 0.114660000028646 0.110250000027544
 0.140017500034981 0.132300000033053 0.102532500025616 0.0848925000212088 0.098122500024514 0.0782775000195561 0.0826875000206579 0.0738675000184544 0.0540225000134965 0.052920000013221 0.0551250000137719 0.0485100000121193 0.0562275000140473 0.0474075000118438 0.0573300000143228 0.0760725000190052 0.100327500025065 0.105840000026442 0.112455000028095 0.110250000027544 0.117967500029472
 0.126787500031675 0.110250000027544 0.0992250000247895 0.098122500024514 0.0959175000239631 0.0749700000187298 0.0771750000192807 0.0584325000145982 0.045202500011293 0.0418950000104666 0.0275625000068859 0.0418950000104666 0.0441000000110175 0.0672525000168017 0.0727650000181789 0.0639450000159754 0.0859950000214842 0.0915075000228614 0.0893025000223105 0.134505000033603 0.133402500033328
 0.1256850000314 0.11355750002837 0.100327500025065 0.108045000026993 0.0904050000225859 0.0815850000203824 0.0650475000162509 0.052920000013221 0.0429975000107421 0.0330750000082631 0.0165375000041316 0.0341775000085386 0.052920000013221 0.0562275000140473 0.0661500000165263 0.0606375000151491 0.0826875000206579 0.111352500027819 0.11355750002837 0.0926100000231368 0.116865000029196
